State/UT,Primary Only,Primary with Upper Primary,Primary with U. Primary& Sec. .HHigher Sec,Upper Primary Only,Upper Primary With Sec. .&Higher.,Primary with U. Primary& Sec,U. Primary withSec.,All Schools,Functional Boys' Tollet,Handwash Facility Near Tollet
A & N Islands,100,100,100,100,100,100,,100,100,77.51
Andhra Pradesh,97.91,98.95,100,100,99.44,98.41,99.17,98.28,87,34.6
Arunachal Pradesh,94.99,99.74,100,100,100,100,100,96.86,91.84,19.27
Assam,81.39,86.76,96.85,68.05,90.81,92.89,80.46,79.68,76.08,36.83
Bihar,68.19,93.79,94.07,92.69,95.77,94.33,81.19,79.77,85.97,29.6
Chandigarh,100,100,100,,100,100,,100,100,100
Chhattisgarh,94.09,98.47,99.71,95.88,99.6,99.62,97.02,94.97,89.12,48.04
D & N Haveli,98.86,100,100,,100,100,,99.37,99.34,67
Daman & Diu,100,100,100,100,100,100,*,100,100,30.77
Delhi,100,100,100,100,100,100,100,100,100,99.09
Goa,99.29,100,100,100,100,100,100,99.52,98.49,83.88
Gujarat,99.71,99.92,100,99.85,100,99.85,94.74,99.85,99.85,48.66
Haryana,98.29,99.9,100,95.64,99.69,99.95,99.68,98.71,97.31,68.64
Himachal Pradesh,97.84,99.87,100,94.03,99.61,99.85,99.52,97.83,99.51,55.3
Jammu & Kashmir,74.56,92.11,99.59,86.49,100,97.95,98.65,83.83,91.06,31.09
Jharkhand,87.56,93.69,96.08,93.75,80.11,96.28,92.15,90.06,88.98,19.49
Karnataka,99.85,99.98,99.78,100,100,100,100,99.92,99.73,38.14
Kerala,99.63,99.97,99.93,100,100,100,100,99.8,98.76,68.76
Lakshadweep,100,100,100,100,100,,,100,100,93.02
Madhya Pradesh,96,99.29,99.97,94.92,100,99.96,100,96.34,90.28,40.35
Maharashtra,99.22,99.91,100,98,99.89,99.89,99.7,99.51,98.66,79.87
Manipur,93.26,99.88,100,100,100,100,100,95.83,92.69,32.35
Meghalaya,66.99,74.34,100,70.03,97.78,90.53,87.5,68.4,75.84,11.56
Mizoram,100,100,,100,,,,100,74.77,14.17
Nagaland,99.3,100,100,98.7,100,99.68,100,99.56,96.9,16.77
Odisha,93.94,97.69,100,93.95,98.04,98.07,96.46,95.33,81.37,28.58
Puducherry,100,100,100,100,100,100,100,100,100,46.29
Punjab,99.57,99.45,99.96,99.69,99.93,99.93,100,99.68,96.63,81.57
Rajasthan,95.89,99.76,99.87,100,99.18,99.71,99.78,98.22,95.79,51.55
Sikkim,99.86,100,100,100,100,100,100,99.92,96.87,36.92
Tamil Nadu,100,100,100,100,99.93,,,99.99,99.94,50.64
Telangana,93.88,96.37,96.97,100,96.43,93.9,98.2,95.25,79.33,29.99
Tripura,99.92,100,100,100,100,100,100,99.96,92.05,30.84
Uttar Pradesh,99.25,99.79,99.82,99.15,99.88,99.77,99.88,99.28,94.42,39.66
Uttarakhand,98.89,99.49,99.77,99.09,99.93,100,99.52,99.07,92.48,42.93
West Bengal,96.42,93.91,97.3,94.43,99.92,98.6,99.7,96.53,84.81,50.66
All States,94.03,98.08,99.7,94.47,99.56,98.83,98.18,95.43,92.03,45.13
